clinic_name|clinic_link|id_doctor|doctor_specialization|doctor_experience
Медицинский центр «Евродент» на Герасименко|https://prodoctorov.ru/tomsk/lpu/65318-medicinskiy-centr-evrodent-na-gerasimenko/|4|Стоматолог|8
Медицинский центр «Евродент» на Герасименко|https://prodoctorov.ru/tomsk/lpu/65318-medicinskiy-centr-evrodent-na-gerasimenko/|5|Стоматолог-хирург|2
«Медстар» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/41185-medstar-na-irkutskom-trakte/|0|Стоматолог-ортодонт|18
«Медстар» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/41185-medstar-na-irkutskom-trakte/|1|Стоматолог-хирург|9
«Медстар» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/41185-medstar-na-irkutskom-trakte/|2|Стоматолог-гигиенист|15
«Медстар» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/41185-medstar-na-irkutskom-trakte/|3|Стоматолог|10
«Медстар» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/41185-medstar-na-irkutskom-trakte/|4|Стоматолог-хирург|9
«Медстар» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/41185-medstar-na-irkutskom-trakte/|5|Стоматолог-ортопед|18
«Медстар» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/41185-medstar-na-irkutskom-trakte/|6|Стоматолог|10
«Медстар» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/41185-medstar-na-irkutskom-trakte/|7|Стоматолог|1
«Медстар» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/41185-medstar-na-irkutskom-trakte/|8|Стоматолог-хирург|1
«Медстар» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/41185-medstar-na-irkutskom-trakte/|9|Детский стоматолог|9
«Медстар» на Иркутском тракте|https://prodoctorov.ru/tomsk/lpu/41185-medstar-na-irkutskom-trakte/|10|Стоматолог|1
Cтоматология «Анкон»|https://prodoctorov.ru/tomsk/lpu/12940-ankon-stomatologicheskaya-klinika/|0|Стоматолог-хирург|39
Cтоматология «Анкон»|https://prodoctorov.ru/tomsk/lpu/12940-ankon-stomatologicheskaya-klinika/|1|Стоматолог, стоматолог-ортопед|3
Cтоматология «Анкон»|https://prodoctorov.ru/tomsk/lpu/12940-ankon-stomatologicheskaya-klinika/|2|Стоматолог-ортопед, стоматолог|14
Cтоматология «Анкон»|https://prodoctorov.ru/tomsk/lpu/12940-ankon-stomatologicheskaya-klinika/|3|Стоматолог|-
Cтоматология «Анкон»|https://prodoctorov.ru/tomsk/lpu/12940-ankon-stomatologicheskaya-klinika/|4|Стоматолог|42
Cтоматология «Анкон»|https://prodoctorov.ru/tomsk/lpu/12940-ankon-stomatologicheskaya-klinika/|5|Стоматолог|1
Cтоматология «Анкон»|https://prodoctorov.ru/tomsk/lpu/12940-ankon-stomatologicheskaya-klinika/|6|Стоматолог|2
Стоматология «Улыбка» на переулке 1905 года|https://prodoctorov.ru/tomsk/lpu/31703-ulybka/|0|Стоматолог|28
Стоматология «Улыбка» на переулке 1905 года|https://prodoctorov.ru/tomsk/lpu/31703-ulybka/|1|Стоматолог-имплантолог, стоматолог-ортопед, стоматолог-хирург|25
Стоматология «Улыбка» на переулке 1905 года|https://prodoctorov.ru/tomsk/lpu/31703-ulybka/|2|Стоматолог-ортодонт|23
Стоматология «Артём»|https://prodoctorov.ru/tomsk/lpu/92974-artyom/|0|Стоматолог|-
Стоматология «Артём»|https://prodoctorov.ru/tomsk/lpu/92974-artyom/|1|Стоматолог|16
Стоматология «Артём»|https://prodoctorov.ru/tomsk/lpu/92974-artyom/|2|Стоматолог|12
Стоматология «Артём»|https://prodoctorov.ru/tomsk/lpu/92974-artyom/|3|Стоматолог, стоматолог-ортодонт|6
Стоматология «Артём»|https://prodoctorov.ru/tomsk/lpu/92974-artyom/|4|Стоматолог-ортопед|36
Стоматология «Денталия» на Савиных|https://prodoctorov.ru/tomsk/lpu/81503-stomatologiya-dentaliya-na-savinyh/|0|Стоматолог, стоматолог-имплантолог, стоматолог-хирург|9
